mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-09-21,close,2026-09-21,2881,富邦金,7,114.0,799.15,154.5,shioaji_kbars_close,1081.5,282.35,0.35331289495088536,1657.0,1657.0,256006500.0,ready
2026-09-21,close,2026-09-21,00713,元大台灣高息低波,324,59.75,19386.93,63.75,shioaji_kbars_close,20655.0,1268.0699999999997,0.06540849943750762,163.0,163.0,10391250.0,ready
2026-09-21,close,2026-09-21,006208,富邦台50,2,249.2,499.11,254.7,shioaji_kbars_close,509.4,10.289999999999964,0.02061669772194499,18.0,18.0,4584600.0,ready
2026-09-21,close,2026-09-21,2330,台積電,7,2422.0,16977.8,2480.0,shioaji_kbars_close,17360.0,382.2000000000007,0.022511750639069888,2171.0,2171.0,5384080000.0,ready
2026-09-21,close,2026-09-21,2882,國泰金,40,91.5,3665.25,113.0,shioaji_kbars_close,4520.0,854.75,0.23320373780778939,1233.0,1233.0,139329000.0,ready
2026-09-21,close,2026-09-21,00878,國泰永續高股息,492,33.25,16382.25,35.11,shioaji_kbars_close,17274.12,891.869999999999,0.05444123975644365,862.0,862.0,30264820.0,ready
2026-09-21,close,2026-09-21,0056,元大高股息,154,52.9108,8159.32,57.15,shioaji_kbars_close,8801.1,641.7800000000007,0.07865606447596131,376.0,376.0,21488400.0,ready
2026-09-21,close,2026-09-21,00919,群益台灣精選高息,444,30.4392,13534.17,32.27,shioaji_kbars_close,14327.880000000001,793.710000000001,0.05864489658397973,959.0,959.0,30946930.0,ready
2026-09-21,close,2026-09-21,1301,台塑,125,52.5,6571.84,65.2,shioaji_kbars_close,8150.0,1578.1599999999999,0.24013974777231337,690.0,690.0,44988000.0,ready
2026-09-21,close,2026-09-21,0050,元大台灣50,36,107.6,3879.04,111.35,shioaji_kbars_close,4008.6,129.55999999999995,0.03340001649892756,2178.0,2178.0,242520300.0,ready
