mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-07-09,close,2026-07-13T21:39:04,2412,中華電,654,143.0,93655.0,133.5,public_close,87309.0,-6346.0,-0.06775932945384656,59918934.0,59918934.0,8013003406.0,ready
2026-07-09,close,2026-07-13T21:39:04,2881,富邦金,76,114.0,8676.51,124.5,public_close,9462.0,785.4899999999998,0.09053063962353525,25388785.0,25388785.0,3166656890.0,ready
2026-07-09,close,2026-07-13T21:39:04,00713,元大台灣高息低波,406,59.75,24293.5,60.55,public_close,24583.3,289.7999999999993,0.01192911684195358,8857303.0,8857303.0,536368633.0,ready
2026-07-09,close,2026-07-13T21:39:04,006208,富邦台50,93,249.2,23208.6,245.7,public_close,22850.1,-358.5,-0.015446860215609731,3431410.0,3431410.0,846040383.0,ready
2026-07-09,close,2026-07-13T21:39:04,2330,台積電,9,2430.0,21901.0,2415.0,public_close,21735.0,-166.0,-0.007579562577051276,34681018.0,34681018.0,84397735035.0,ready
2026-07-09,close,2026-07-13T21:39:04,2882,國泰金,124,91.5,11362.26,96.3,public_close,11941.199999999999,578.9399999999987,0.050952891414207974,23118031.0,23118031.0,2217051514.0,ready
2026-07-09,close,2026-07-13T21:39:04,00878,國泰永續高股息,656,33.25,21843.0,33.19,public_close,21772.64,-70.36000000000058,-0.0032211692533077223,23796926.0,23796926.0,790856674.0,ready
2026-07-09,close,2026-07-13T21:39:04,0056,元大高股息,371,53.6,19913.6,52.65,public_close,19533.149999999998,-380.4500000000007,-0.019105033745781815,26405830.0,26405830.0,1391350370.0,ready
2026-07-09,close,2026-07-13T21:39:04,00919,群益台灣精選高息,646,30.72,19873.12,29.97,public_close,19360.62,-512.5,-0.025788602896777157,61544656.0,61544656.0,1840397364.0,ready
2026-07-09,close,2026-07-13T21:39:04,00881,國泰台灣5G+,349,56.3,19676.7,53.3,public_close,18601.7,-1075.0,-0.05463314478545691,5510986.0,5510986.0,295618279.0,ready
2026-07-09,close,2026-07-13T21:39:04,2303,聯電,85,135.0,11491.49,156.0,public_close,13260.0,1768.5100000000002,0.15389736230897824,59926265.0,59926265.0,9443928620.0,ready
2026-07-09,close,2026-07-13T21:39:04,2454,聯發科,2,4455.0,8922.5,3925.0,public_close,7850.0,-1072.5,-0.12020173718128327,7370647.0,7370647.0,29278102309.0,ready
2026-07-09,close,2026-07-13T21:39:04,2317,鴻海,1,312.0,312.44,237.5,public_close,237.5,-74.94,-0.23985405197797977,40528079.0,40528079.0,9629944166.0,ready
2026-07-09,close,2026-07-13T21:39:04,1301,台塑,157,52.5,8254.23,54.8,public_close,8603.6,349.3700000000008,0.04232617700257938,56581393.0,56581393.0,3141759078.0,ready
2026-07-09,close,2026-07-13T21:39:04,0050,元大台灣50,119,107.6,12822.4,105.8,public_close,12590.199999999999,-232.20000000000073,-0.01810893436486155,56650627.0,56650627.0,6014937416.0,ready
