trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260831-00881-sell-01-fbc0b8fbce,2026-08-31,00881,國泰台灣5G+,sell,1,49.5800,49.58,0.00,0.00,49.58,56.38,-6.80,0,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260831-2412-sell-01-761c8bff49,2026-08-31,2412,中華電,sell,1,136.0000,136.00,0.00,0.00,136.00,143.20,-7.20,3,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
