mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-07-13,close,2026-07-13T22:11:53,2412,中華電,490,143.0,70169.65,133.5,public_close,65415.0,-4754.649999999994,-0.06775935179953149,20063542.0,20063542.0,2680976494.0,ready
2026-07-13,close,2026-07-13T22:11:53,2881,富邦金,76,114.0,8676.51,127.0,public_close,9652.0,975.4899999999998,0.11242884523846566,24403302.0,24403302.0,3086214347.0,ready
2026-07-13,close,2026-07-13T22:11:53,00713,元大台灣高息低波,406,59.75,24293.5,60.55,public_close,24583.3,289.7999999999993,0.01192911684195358,6879272.0,6879272.0,417186044.0,ready
2026-07-13,close,2026-07-13T22:11:53,006208,富邦台50,93,249.2,23208.6,246.75,public_close,22947.75,-260.84999999999854,-0.011239368165249026,4179797.0,4179797.0,1034385794.0,ready
2026-07-13,close,2026-07-13T22:11:53,2330,台積電,9,2430.0,21901.0,2440.0,public_close,21960.0,59.0,0.0026939409159399113,35310380.0,35310380.0,86697387632.0,ready
2026-07-13,close,2026-07-13T22:11:53,2882,國泰金,124,91.5,11362.26,96.7,public_close,11990.800000000001,628.5400000000009,0.055318220142823775,20949390.0,20949390.0,2024648758.0,ready
2026-07-13,close,2026-07-13T22:11:53,00878,國泰永續高股息,656,33.25,21843.0,33.13,public_close,21733.280000000002,-109.71999999999753,-0.005023119534862314,29799822.0,29799822.0,990687081.0,ready
2026-07-13,close,2026-07-13T22:11:53,0056,元大高股息,371,53.6,19913.6,52.4,public_close,19440.399999999998,-473.2000000000007,-0.023762654668166516,49611568.0,49611568.0,2611757742.0,ready
2026-07-13,close,2026-07-13T22:11:53,00919,群益台灣精選高息,646,30.72,19873.12,29.71,public_close,19192.66,-680.4599999999991,-0.034240219955397,78688076.0,78688076.0,2346402924.0,ready
2026-07-13,close,2026-07-13T22:11:53,00881,國泰台灣5G+,349,56.3,19676.7,53.3,public_close,18601.7,-1075.0,-0.05463314478545691,6808593.0,6808593.0,364702537.0,ready
2026-07-13,close,2026-07-13T22:11:53,2303,聯電,85,135.0,11491.49,153.5,public_close,13047.5,1556.0100000000002,0.1354054174001805,68418819.0,68418819.0,10589222990.0,ready
2026-07-13,close,2026-07-13T22:11:53,2454,聯發科,1,4455.0,4461.25,3825.0,public_close,3825.0,-636.25,-0.14261697954609134,7033208.0,7033208.0,27554314750.0,ready
2026-07-13,close,2026-07-13T22:11:53,1301,台塑,157,52.5,8254.23,60.2,public_close,9451.4,1197.17,0.14503715064881886,52147050.0,52147050.0,3105960053.0,ready
2026-07-13,close,2026-07-13T22:11:53,0050,元大台灣50,119,107.6,12822.4,106.0,public_close,12614.0,-208.39999999999964,-0.016252807586723206,71523037.0,71523037.0,7623449944.0,ready
