trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260623-2317-sell-01-ec3dd424ac,2026-06-23,2317,鴻海,sell,4,259.5000,1038.00,1.00,3.00,1034.00,1249.76,-215.76,11,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260623-2881-sell-01-142d823682,2026-06-23,2881,富邦金,sell,31,137.5000,4262.50,6.00,13.00,4243.50,3539.10,704.40,120,持仓获利超过约 8% 且 RSI 偏热，并已连续观察至少 2 天，建议分批获利了结 20%。,executed
paper-20260623-2882-sell-01-4f28b7cc4a,2026-06-23,2882,國泰金,sell,32,113.5000,3632.00,5.00,11.00,3616.00,2932.20,683.80,124,持仓获利超过约 8% 且 RSI 偏热，并已连续观察至少 2 天，建议分批获利了结 20%。,executed
