mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-05,close,2026-08-05,2412,中華電,490,143.0,70169.65,137.0,shioaji_kbars_close,67130.0,-3039.649999999994,-0.0433185857418413,1052.0,1052.0,144124000.0,ready
2026-08-05,close,2026-08-05,2881,富邦金,76,114.0,8676.51,129.5,shioaji_kbars_close,9842.0,1165.4899999999998,0.1343270508533961,1592.0,1592.0,206164000.0,ready
2026-08-05,close,2026-08-05,00713,元大台灣高息低波,406,59.75,24293.5,61.1,shioaji_kbars_close,24806.600000000002,513.1000000000022,0.021120875954473508,35.0,35.0,2138500.0,ready
2026-08-05,close,2026-08-05,006208,富邦台50,11,249.2,2745.1,238.25,shioaji_kbars_close,2620.75,-124.34999999999991,-0.0452988962150741,135.0,135.0,32163750.0,ready
2026-08-05,close,2026-08-05,2330,台積電,7,2422.0,16977.8,2405.0,shioaji_kbars_close,16835.0,-142.79999999999927,-0.008410983755256823,4021.0,4021.0,9670505000.0,ready
2026-08-05,close,2026-08-05,2882,國泰金,124,91.5,11362.26,100.5,shioaji_kbars_close,12462.0,1099.7399999999998,0.09678884306467198,2315.0,2315.0,232657500.0,ready
2026-08-05,close,2026-08-05,00878,國泰永續高股息,492,33.25,16382.25,33.15,shioaji_kbars_close,16309.8,-72.45000000000073,-0.0044224694410108945,384.0,384.0,12729600.0,ready
2026-08-05,close,2026-08-05,0056,元大高股息,134,53.1288,7129.32,51.45,shioaji_kbars_close,6894.3,-235.01999999999953,-0.03296527579067843,922.0,922.0,47436900.0,ready
2026-08-05,close,2026-08-05,00919,群益台灣精選高息,556,30.4392,16948.2,29.94,shioaji_kbars_close,16646.64,-301.5600000000013,-0.017793039968846326,739.0,739.0,22125660.0,ready
2026-08-05,close,2026-08-05,00881,國泰台灣5G+,33,56.3,1860.55,52.65,shioaji_kbars_close,1737.45,-123.09999999999991,-0.06616323130257178,173.0,173.0,9108450.0,ready
2026-08-05,close,2026-08-05,2303,聯電,19,135.0,2568.68,122.0,shioaji_kbars_close,2318.0,-250.67999999999984,-0.09759098058146591,9647.0,9647.0,1176934000.0,ready
2026-08-05,close,2026-08-05,1301,台塑,157,52.5,8254.23,56.0,shioaji_kbars_close,8792.0,537.7700000000004,0.0651508378128548,1645.0,1645.0,92120000.0,ready
2026-08-05,close,2026-08-05,0050,元大台灣50,49,107.6,5279.81,103.8,shioaji_kbars_close,5086.2,-193.61000000000058,-0.03666988016614245,1413.0,1413.0,146669400.0,ready
