trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260820-0050-sell-01-75fce952ff,2026-08-20,0050,元大台灣50,sell,13,103.8000,1349.40,2.00,1.00,1346.40,1400.77,-54.37,36,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260820-006208-sell-01-1903102484,2026-08-20,006208,富邦台50,sell,2,237.8500,475.70,1.00,0.00,474.70,499.11,-24.41,6,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260820-00881-sell-01-eb2892690f,2026-08-20,00881,國泰台灣5G+,sell,3,48.6800,146.04,0.00,0.00,146.04,169.14,-23.10,6,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260820-2412-sell-01-43f5c0de2a,2026-08-20,2412,中華電,sell,5,136.5000,682.50,1.00,2.00,679.50,716.02,-36.52,15,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
