trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260806-00881-sell-01-39ff48a8b8,2026-08-06,00881,國泰台灣5G+,sell,6,52.7500,316.50,0.00,0.00,316.50,338.28,-21.78,18,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260806-2303-sell-01-0edfe39021,2026-08-06,2303,聯電,sell,4,121.5000,486.00,1.00,1.00,484.00,540.77,-56.77,10,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260806-2412-sell-01-09117cbaf2,2026-08-06,2412,中華電,sell,92,137.0000,12604.00,18.00,38.00,12548.00,13174.71,-626.71,275,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
