trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260819-00881-sell-01-759dcd4b92,2026-08-19,00881,國泰台灣5G+,sell,4,48.5400,194.16,0.00,0.00,194.16,225.52,-31.36,9,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260819-2412-sell-01-0b5e4a8386,2026-08-19,2412,中華電,sell,7,136.0000,952.00,1.00,3.00,948.00,1002.43,-54.43,20,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
