trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260807-006208-sell-01-58d727e889,2026-08-07,006208,富邦台50,sell,3,235.3500,706.05,1.00,1.00,704.05,748.66,-44.61,8,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260807-00881-sell-01-158d8f6121,2026-08-07,00881,國泰台灣5G+,sell,5,52.2500,261.25,0.00,0.00,261.25,281.90,-20.65,13,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260807-2303-sell-01-b6915c6153,2026-08-07,2303,聯電,sell,3,116.0000,348.00,0.00,1.00,347.00,405.58,-58.58,7,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
paper-20260807-2412-sell-01-ddc0cc1adb,2026-08-07,2412,中華電,sell,69,137.5000,9487.50,14.00,29.00,9444.50,9881.03,-436.53,206,价格跌破建仓成本约 6%，或跌破 60 日趋势且持仓转弱，并已连续观察至少 2 天，建议先减码 25%。,executed
