mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-04,close,2026-08-04,2412,中華電,490,143.0,70169.65,136.5,shioaji_kbars_close,66885.0,-3284.649999999994,-0.046810123750082755,1315.0,1315.0,179497500.0,ready
2026-08-04,close,2026-08-04,2881,富邦金,76,114.0,8676.51,128.5,shioaji_kbars_close,9766.0,1089.4899999999998,0.1255677686074239,3795.0,3795.0,487657500.0,ready
2026-08-04,close,2026-08-04,00713,元大台灣高息低波,406,59.75,24293.5,60.8,shioaji_kbars_close,24684.8,391.2999999999993,0.016107189165826218,26.0,26.0,1580800.0,ready
2026-08-04,close,2026-08-04,006208,富邦台50,11,249.2,2745.1,230.15,shioaji_kbars_close,2531.65,-213.44999999999982,-0.0777567301737641,22.0,22.0,5063300.0,ready
2026-08-04,close,2026-08-04,2330,台積電,7,2422.0,16977.8,2320.0,shioaji_kbars_close,16240.0,-737.7999999999993,-0.043456749402160426,5419.0,5419.0,12572080000.0,ready
2026-08-04,close,2026-08-04,2882,國泰金,124,91.5,11362.26,99.2,shioaji_kbars_close,12300.800000000001,938.5400000000009,0.08260152469667134,3307.0,3307.0,328054400.0,ready
2026-08-04,close,2026-08-04,00878,國泰永續高股息,492,33.25,16382.25,32.57,shioaji_kbars_close,16024.44,-357.8099999999995,-0.021841322162706556,2133.0,2133.0,69471810.0,ready
2026-08-04,close,2026-08-04,0056,元大高股息,134,53.1288,7129.32,50.6,shioaji_kbars_close,6780.400000000001,-348.91999999999916,-0.04894155403320361,613.0,613.0,31017800.0,ready
2026-08-04,close,2026-08-04,00919,群益台灣精選高息,556,30.4392,16948.2,29.51,shioaji_kbars_close,16407.56,-540.6399999999994,-0.031899552754864786,118.0,118.0,3482180.0,ready
2026-08-04,close,2026-08-04,00881,國泰台灣5G+,33,56.3,1860.55,50.9,shioaji_kbars_close,1679.7,-180.8499999999999,-0.09720244013866863,260.0,260.0,13234000.0,ready
2026-08-04,close,2026-08-04,2303,聯電,19,135.0,2568.68,118.5,shioaji_kbars_close,2251.5,-317.17999999999984,-0.12347976392544024,8771.0,8771.0,1039363500.0,ready
2026-08-04,close,2026-08-04,1301,台塑,157,52.5,8254.23,55.3,shioaji_kbars_close,8682.1,427.8700000000008,0.051836452340194156,1409.0,1409.0,77917700.0,ready
2026-08-04,close,2026-08-04,0050,元大台灣50,49,107.6,5279.81,100.65,shioaji_kbars_close,4931.85,-347.96000000000004,-0.06590388669289236,1094.0,1094.0,110111100.0,ready
