mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-09-11,close,2026-09-11,2881,富邦金,19,114.0,2169.12,148.5,shioaji_kbars_close,2821.5,652.3800000000001,0.30075791104226607,1315.0,1315.0,195277500.0,ready
2026-09-11,close,2026-09-11,00713,元大台灣高息低波,406,59.75,24293.5,63.85,shioaji_kbars_close,25923.100000000002,1629.6000000000022,0.06707967151707256,131.0,131.0,8364350.0,ready
2026-09-11,close,2026-09-11,006208,富邦台50,2,249.2,499.11,246.1,shioaji_kbars_close,492.2,-6.910000000000025,-0.013844643465368405,23.0,23.0,5660300.0,ready
2026-09-11,close,2026-09-11,2330,台積電,7,2422.0,16977.8,2410.0,shioaji_kbars_close,16870.0,-107.79999999999927,-0.006349468128968375,3747.0,3747.0,9030270000.0,ready
2026-09-11,close,2026-09-11,2882,國泰金,50,91.5,4581.56,110.5,shioaji_kbars_close,5525.0,943.4399999999996,0.20592112730161768,2957.0,2957.0,326748500.0,ready
2026-09-11,close,2026-09-11,00878,國泰永續高股息,492,33.25,16382.25,34.0,shioaji_kbars_close,16728.0,345.75,0.02110515954768118,852.0,852.0,28968000.0,ready
2026-09-11,close,2026-09-11,0056,元大高股息,154,52.9108,8159.32,55.3,shioaji_kbars_close,8516.199999999999,356.8799999999992,0.04373893902923273,414.0,414.0,22894200.0,ready
2026-09-11,close,2026-09-11,00919,群益台灣精選高息,444,30.4392,13534.17,32.48,shioaji_kbars_close,14421.119999999999,886.9499999999989,0.06553412584591436,4530.0,4530.0,147134400.0,ready
2026-09-11,close,2026-09-11,1301,台塑,125,52.5,6571.84,64.6,shioaji_kbars_close,8074.999999999999,1503.159999999999,0.22872741880508335,926.0,926.0,59819600.0,ready
2026-09-11,close,2026-09-11,0050,元大台灣50,36,107.6,3879.04,107.7,shioaji_kbars_close,3877.2000000000003,-1.8399999999996908,-0.0004743441676290244,1167.0,1167.0,125685900.0,ready
