mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-07-27,close,2026-07-27T20:13:09,2412,中華電,490,143.0,70169.65,140.5,public_close,68845.0,-1324.6499999999942,-0.018877819684151115,22511463.0,22511463.0,3149435013.0,ready
2026-07-27,close,2026-07-27T20:13:09,2881,富邦金,76,114.0,8676.51,130.0,public_close,9880.0,1203.4899999999998,0.1387066919763822,15640876.0,15640876.0,2014773566.0,ready
2026-07-27,close,2026-07-27T20:13:09,00713,元大台灣高息低波,406,59.75,24293.5,61.2,public_close,24847.2,553.7000000000007,0.022792104884022505,6069030.0,6069030.0,371172928.0,ready
2026-07-27,close,2026-07-27T20:13:09,006208,富邦台50,51,249.2,12727.29,232.75,public_close,11870.25,-857.0400000000009,-0.06733876575453225,3038744.0,3038744.0,702423839.0,ready
2026-07-27,close,2026-07-27T20:13:09,2330,台積電,9,2430.0,21901.0,2350.0,public_close,21150.0,-751.0,-0.03429067165882836,28939466.0,28939466.0,67885214772.0,ready
2026-07-27,close,2026-07-27T20:13:09,2882,國泰金,124,91.5,11362.26,98.5,public_close,12214.0,851.7399999999998,0.07496219942159392,15857730.0,15857730.0,1554410280.0,ready
2026-07-27,close,2026-07-27T20:13:09,00878,國泰永續高股息,656,33.25,21843.0,32.55,public_close,21352.8,-490.2000000000007,-0.0224419722565582,30340199.0,30340199.0,980874344.0,ready
2026-07-27,close,2026-07-27T20:13:09,0056,元大高股息,426,53.1288,22664.85,50.0,public_close,21300.0,-1364.8499999999985,-0.06021879694769648,58413669.0,58413669.0,2905590148.0,ready
2026-07-27,close,2026-07-27T20:13:09,00919,群益台灣精選高息,742,30.4392,22617.92,29.59,public_close,21955.78,-662.1399999999994,-0.029275017331390308,36918754.0,36918754.0,1088695484.0,ready
2026-07-27,close,2026-07-27T20:13:09,00881,國泰台灣5G+,195,56.3,10994.14,51.05,public_close,9954.75,-1039.3899999999994,-0.09454036423039905,7261555.0,7261555.0,367208113.0,ready
2026-07-27,close,2026-07-27T20:13:09,2303,聯電,85,135.0,11491.49,126.0,public_close,10710.0,-781.4899999999998,-0.0680059765965945,219388398.0,219388398.0,26881328373.0,ready
2026-07-27,close,2026-07-27T20:13:09,1301,台塑,157,52.5,8254.23,61.7,public_close,9686.9,1432.67,0.17356797666166318,38166047.0,38166047.0,2320378747.0,ready
2026-07-27,close,2026-07-27T20:13:09,0050,元大台灣50,89,107.6,9589.86,101.45,public_close,9029.050000000001,-560.8099999999995,-0.058479477281211556,109612623.0,109612623.0,11048530094.0,ready
