mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-18,close,2026-08-18,2412,中華電,36,143.0,5155.33,137.0,shioaji_kbars_close,4932.0,-223.32999999999993,-0.04332021422488957,1050.0,1050.0,143850000.0,ready
2026-08-18,close,2026-08-18,2881,富邦金,76,114.0,8676.51,129.5,shioaji_kbars_close,9842.0,1165.4899999999998,0.1343270508533961,3430.0,3430.0,444185000.0,ready
2026-08-18,close,2026-08-18,00713,元大台灣高息低波,406,59.75,24293.5,60.65,shioaji_kbars_close,24623.899999999998,330.3999999999978,0.013600345771502575,61.0,61.0,3699650.0,ready
2026-08-18,close,2026-08-18,006208,富邦台50,8,249.2,1996.44,240.7,shioaji_kbars_close,1925.6,-70.84000000000015,-0.03548316002484429,31.0,31.0,7461700.0,ready
2026-08-18,close,2026-08-18,2330,台積電,7,2422.0,16977.8,2380.0,shioaji_kbars_close,16660.0,-317.7999999999993,-0.01871856188669906,4015.0,4015.0,9555700000.0,ready
2026-08-18,close,2026-08-18,2882,國泰金,124,91.5,11362.26,99.2,shioaji_kbars_close,12300.800000000001,938.5400000000009,0.08260152469667134,2116.0,2116.0,209907200.0,ready
2026-08-18,close,2026-08-18,00878,國泰永續高股息,492,33.25,16382.25,32.38,shioaji_kbars_close,15930.960000000001,-451.28999999999905,-0.027547498054296512,1822.0,1822.0,58996360.0,ready
2026-08-18,close,2026-08-18,0056,元大高股息,154,52.9108,8159.32,52.7,shioaji_kbars_close,8115.8,-43.51999999999953,-0.005333777814817844,904.0,904.0,47640800.0,ready
2026-08-18,close,2026-08-18,00919,群益台灣精選高息,556,30.4392,16948.2,30.34,shioaji_kbars_close,16869.04,-79.15999999999985,-0.0046707024934801245,1076.0,1076.0,32645840.0,ready
2026-08-18,close,2026-08-18,00881,國泰台灣5G+,13,56.3,732.95,49.48,shioaji_kbars_close,643.24,-89.71000000000004,-0.12239579780339727,824.0,824.0,40771520.0,ready
2026-08-18,close,2026-08-18,1301,台塑,157,52.5,8254.23,58.9,shioaji_kbars_close,9247.3,993.0699999999997,0.12031043477102041,1773.0,1773.0,104429700.0,ready
2026-08-18,close,2026-08-18,0050,元大台灣50,49,107.6,5279.81,104.9,shioaji_kbars_close,5140.1,-139.71000000000004,-0.02646117947426139,1468.0,1468.0,153993200.0,ready
