mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-07-29,close,2026-07-29T20:00:04,2412,中華電,490,143.0,70169.65,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,2881,富邦金,76,114.0,8676.51,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,00713,元大台灣高息低波,406,59.75,24293.5,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,006208,富邦台50,21,249.2,5240.65,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,2330,台積電,10,2422.0,24254.0,2200.0,public_close,22000.0,-2254.0,-0.0929331244330832,68139691.0,68139691.0,151551634905.0,ready
2026-07-29,close,2026-07-29T20:00:04,2882,國泰金,124,91.5,11362.26,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,00878,國泰永續高股息,656,33.25,21843.0,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,0056,元大高股息,239,53.1288,12715.73,46.73,public_close,11168.47,-1547.2600000000002,-0.12168078435135067,136986451.0,136986451.0,6443153926.0,ready
2026-07-29,close,2026-07-29T20:00:04,00919,群益台灣精選高息,742,30.4392,22617.92,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,00881,國泰台灣5G+,81,56.3,4566.79,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,2303,聯電,47,135.0,6354.12,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,1301,台塑,157,52.5,8254.23,0.0,missing,0.0,0.0,0.0,0.0,0.0,0.0,missing
2026-07-29,close,2026-07-29T20:00:04,0050,元大台灣50,66,107.6,7111.58,93.7,public_close,6184.2,-927.3800000000001,-0.13040421397214122,546282926.0,546282926.0,51279482077.0,ready
